id,question,sql,expectedResult
q011,Which brand has the highest total gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT brand, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY brand ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""brand"":""Casa Verde"",""revenue_incl_vat"":16431.54}]"
q012,How much gross revenue before returns (incl. VAT; exclude returned items) comes from age-restricted items?,"SELECT ROUND(SUM(t.grossSalesInclVat), 2) AS age_restricted_revenue_incl_vat FROM transactions t JOIN items i ON i.itemSku = t.itemSku WHERE i.isAgeRestricted = 'Yes' AND t.returnFlag = 'No';","[{""age_restricted_revenue_incl_vat"":52419.33}]"
q013,What percent of total gross revenue before returns (incl. VAT; exclude returned items) is from private-label items?,"SELECT ROUND(100.0 * SUM(CASE WHEN i.isPrivateLabel = 'Yes' THEN t.grossSalesInclVat ELSE 0 END) / SUM(t.grossSalesInclVat), 2) AS private_label_revenue_pct FROM transactions t JOIN items i ON i.itemSku = t.itemSku WHERE t.returnFlag = 'No';","[{""private_label_revenue_pct"":38.7}]"
q014,Which month had the highest gross revenue before returns (incl. VAT; exclude returned items) in Q1 2025?,"SELECT substr(businessDate, 1, 7) AS month, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE businessDate >= '2025-01-01' AND businessDate <= '2025-03-31' AND returnFlag = 'No' GROUP BY month ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""month"":""2025-01"",""revenue_incl_vat"":59002.48}]"
q015,What is the average basket value before returns (gross sales incl. VAT; exclude returned items)?,"WITH basket_totals AS (SELECT basketId, SUM(grossSalesInclVat) AS basket_revenue FROM transactions WHERE returnFlag = 'No' GROUP BY basketId) SELECT ROUND(AVG(basket_revenue), 2) AS avg_basket_revenue_incl_vat FROM basket_totals;","[{""avg_basket_revenue_incl_vat"":19.14}]"
q016,How many unique SKUs were sold at least once?,"SELECT COUNT(*) AS distinct_skus_sold
FROM (
  SELECT itemSku
  FROM transactions
  GROUP BY itemSku
  HAVING SUM(units) > 0
);","[{""distinct_skus_sold"":180}]"
q017,Which city generated the highest total gross revenue before returns (incl. VAT; exclude returned items)?,"SELECT s.city, ROUND(SUM(t.grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions t JOIN stores s ON s.storeId = t.storeId WHERE t.returnFlag = 'No' GROUP BY s.city ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""city"":""Seattle"",""revenue_incl_vat"":15352.52}]"
q018,Which supplier generated the highest gross revenue before returns (incl. VAT; exclude returned items) through sold items?,"SELECT i.supplierName, ROUND(SUM(t.grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions t JOIN items i ON i.itemSku = t.itemSku WHERE t.returnFlag = 'No' GROUP BY i.supplierName ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""supplierName"":""Blue Peak Supply"",""revenue_incl_vat"":37518.62}]"
q019,"What are the gross revenue totals before returns (incl. VAT; exclude returned items) for In-Store, Click & Collect, and Delivery?","SELECT channel, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY channel ORDER BY revenue_incl_vat DESC;","[{""channel"":""In-Store"",""revenue_incl_vat"":142544.42},{""channel"":""Click & Collect"",""revenue_incl_vat"":14462.17},{""channel"":""Delivery"",""revenue_incl_vat"":10503.4}]"
q020,"Which SKU had the highest total gross revenue before returns (incl. VAT; exclude returned items), and how much did it make?","SELECT itemSku, itemDescription, ROUND(SUM(grossSalesInclVat), 2) AS revenue_incl_vat FROM transactions WHERE returnFlag = 'No' GROUP BY itemSku, itemDescription ORDER BY revenue_incl_vat DESC LIMIT 1;","[{""itemSku"":""SKU-00171"",""itemDescription"":""North Barrel Cider 2 pack"",""revenue_incl_vat"":3620.84}]"
